dist	m1	ra	m2	iota	dec
4.580380240000000214e+01	5.931493290815025077e+00	2.272088000000000108e+00	3.322419199970801262e+00	4.610037000000000162e-01	-1.871060999999999974e-01
3.635061650000000100e+01	6.173351951782065861e+00	2.320317900000000044e+00	3.199610659161738813e+00	1.003891799999999890e+00	-8.156879999999999686e-02
2.978466209999999847e+01	6.112074450599043196e+00	2.337454300000000096e+00	3.240791178169894149e+00	1.208400200000000035e+00	-7.943329999999999835e-02
4.719827699999999737e+01	6.173787427756233903e+00	2.321256099999999822e+00	3.214051509255155814e+00	5.687796999999999992e-01	-7.914640000000000564e-02
4.050397259999999733e+01	6.045545287794300116e+00	2.293170500000000001e+00	3.271298965133085712e+00	7.602524999999999977e-01	-1.713529000000000024e-01
5.094860659999999797e+01	5.984827997028874691e+00	2.271107300000000162e+00	3.313301922748334682e+00	5.397416999999999909e-01	-1.609678999999999971e-01
4.398104610000000037e+01	6.020206757963840971e+00	2.302075199999999988e+00	3.281332958089816731e+00	6.388610000000000122e-01	-2.102445000000000008e-01
3.236461049999999773e+01	6.087302493933989034e+00	2.250633800000000129e+00	3.248594286221017757e+00	9.227290999999999688e-01	-1.983437000000000117e-01
5.888818160000000290e+01	5.717952980630665927e+00	2.358124300000000062e+00	3.442356932912455481e+00	7.212370000000000170e-01	4.101459999999999828e-02
5.075576910000000197e+01	4.867890124694945975e+00	2.325718000000000174e+00	4.047400429131438493e+00	4.175489000000000006e-01	-3.216419999999999696e-02
5.677326790000000045e+01	4.724235933207197924e+00	2.345561700000000194e+00	4.154658900343665806e+00	3.813456000000000068e-01	-3.631449999999999956e-02
4.500759209999999655e+01	4.612365411461226472e+00	2.355688400000000016e+00	4.263745767910964268e+00	6.768108999999999931e-01	-2.928040000000000156e-02
4.848259629999999731e+01	4.807137232999619592e+00	2.330298400000000214e+00	4.082988638079387833e+00	6.887185999999999586e-01	-1.611809999999999979e-02
6.157337960000000265e+01	4.933434192904211812e+00	2.343407899999999877e+00	3.981461957365159510e+00	4.560867000000000115e-01	1.598199999999999925e-03
4.858968990000000332e+01	4.997343616482042172e+00	2.350566699999999898e+00	3.936369087157058022e+00	6.862523999999999846e-01	3.193979999999999736e-02
4.710684239999999789e+01	4.478068877184947283e+00	2.317048300000000172e+00	4.379126393150433394e+00	7.845881999999999579e-01	-3.061770000000000116e-02
4.066124810000000167e+01	4.442632706010466670e+00	2.334512500000000212e+00	4.422252572734914011e+00	8.014078999999999509e-01	-3.569660000000000194e-02
5.433888489999999649e+01	4.432570963408712927e+00	2.295274899999999896e+00	4.423780731931176824e+00	4.191900000000000071e-01	-9.658890000000000531e-02
5.128725740000000144e+01	4.432248759498752300e+00	2.312654300000000163e+00	4.430801187053900136e+00	1.752288999999999930e-01	-9.680840000000000278e-02
4.303727260000000143e+01	5.148480475617172480e+00	2.362454599999999960e+00	3.823206512452223205e+00	8.868460000000000232e-01	-1.639919999999999919e-02
3.479555150000000197e+01	4.806658533821507540e+00	2.326654599999999906e+00	4.085368470241131256e+00	8.395580000000000265e-01	-5.302649999999999725e-02
2.311859409999999926e+01	4.516949768731459258e+00	2.315285300000000213e+00	4.375067407850858459e+00	1.207918899999999907e+00	-1.044038000000000049e-01
6.574613420000000019e+01	4.438883834556881958e+00	2.300401200000000035e+00	4.434232328186649141e+00	2.781501000000000112e-01	-9.455070000000000141e-02
