dist	chain	v1_end_time	f_lower	logll1	logl	loglh1	v1h1_delay	l1v1_delay	l1h1_delay	loglv1	m1	ra	l1_end_time	m2	iota	v1l1_delay	psi	post	cycle	mc	h1v1_delay	logprior	phi_orb	h1l1_delay	q	prior	h1_end_time	eta	time	cosiota	dec	
4.580380240000000214e+01	1.000000000000000000e+00	9.693797563715300560e+08	3.000000000000000000e+01	2.371852900000000020e+01	8.146923200000000520e+01	4.969908000000000214e+01	-2.315437793731689453e-02	2.598488330841064453e-02	2.830505371093750000e-03	8.051624000000000336e+00	5.931493290815025077e+00	2.272088000000000108e+00	9.693797563455451727e+08	3.322419199970801262e+00	4.610037000000000162e-01	-2.598488330841064453e-02	1.818463200000000057e+00	2.319176818662106255e+29	6.623000000000000000e+05	3.832710399999999851e+00	2.315437793731689453e-02	-1.385305100000000067e+01	5.585878199999999794e+00	-2.830505371093750000e-03	5.601319999999999633e-01	9.631554649654383727e-07	9.693797563483756781e+08	2.301270629769270604e-01	9.693797563599138260e+08	8.956064555376410663e-01	-1.871060999999999974e-01
3.635061650000000100e+01	1.000000000000000000e+00	9.693797563704423904e+08	3.000000000000000000e+01	2.611565799999999982e+01	8.384776499999999544e+01	4.917620999999999754e+01	-2.289068698883056641e-02	2.568399906158447266e-02	2.793312072753906250e-03	8.555896999999999863e+00	6.173351951782065861e+00	2.320317900000000044e+00	9.693797563447583914e+08	3.199610659161738813e+00	1.003891799999999890e+00	-2.568399906158447266e-02	8.536314000000000402e-01	3.287548697028905973e+30	6.641000000000000000e+05	3.828208000000000055e+00	2.289068698883056641e-02	-1.358006999999999920e+01	3.954734300000000147e+00	-2.793312072753906250e-03	5.182938999999999741e-01	1.265466157136973219e-06	9.693797563475517035e+08	2.248352508118779125e-01	9.693797563608353138e+08	5.370233856231274583e-01	-8.156879999999999686e-02
2.978466209999999847e+01	1.000000000000000000e+00	9.693797563696551323e+08	3.000000000000000000e+01	2.710541399999999967e+01	8.276339699999999766e+01	4.511370800000000258e+01	-2.264320850372314453e-02	2.557289600372314453e-02	2.929687500000000000e-03	1.054427500000000073e+01	6.112074450599043196e+00	2.337454300000000096e+00	9.693797563440822363e+08	3.240791178169894149e+00	1.208400200000000035e+00	-2.557289600372314453e-02	7.993253999999999637e-01	8.092909461356600901e+29	6.659000000000000000e+05	3.836320399999999964e+00	2.264320850372314453e-02	-1.389744100000000060e+01	4.999250199999999644e+00	-2.929687500000000000e-03	5.302276999999999685e-01	9.213360427270893289e-07	9.693797563470119238e+08	2.264385127552447363e-01	9.693797563602993488e+08	3.545157473083630495e-01	-7.943329999999999835e-02
4.719827699999999737e+01	1.000000000000000000e+00	9.693797563697288036e+08	3.000000000000000000e+01	2.750248200000000054e+01	8.193294400000000621e+01	4.473035300000000092e+01	-2.288317680358886719e-02	2.567386627197265625e-02	2.790689468383789062e-03	9.700108999999999426e+00	6.173787427756233903e+00	2.321256099999999822e+00	9.693797563440549374e+08	3.214051509255155814e+00	5.687796999999999992e-01	-2.567386627197265625e-02	2.462526299999999946e+00	5.204113149316753802e+29	6.677000000000000000e+05	3.837510500000000047e+00	2.288317680358886719e-02	-1.350852700000000084e+01	1.994689399999999946e+00	-2.790689468383789062e-03	5.205963999999999592e-01	1.359318617922960277e-06	9.693797563468456268e+08	2.251506705078875070e-01	9.693797563601675034e+08	8.425588611371017667e-01	-7.914640000000000564e-02
4.050397259999999733e+01	1.000000000000000000e+00	9.693797563705635071e+08	3.000000000000000000e+01	2.710689299999999946e+01	8.345179299999999500e+01	4.688989399999999819e+01	-2.294695377349853516e-02	2.589154243469238281e-02	2.944588661193847656e-03	9.455005999999999133e+00	6.045545287794300116e+00	2.293170500000000001e+00	9.693797563446719646e+08	3.271298965133085712e+00	7.602524999999999977e-01	-2.589154243469238281e-02	2.962059399999999787e+00	2.123558480736962294e+30	6.695000000000000000e+05	3.835656100000000013e+00	2.294695377349853516e-02	-1.362114599999999953e+01	2.412315200000000104e+00	-2.944588661193847656e-03	5.411089999999999511e-01	1.214538972113607128e-06	9.693797563476165533e+08	2.278337424190224059e-01	9.693797563594094515e+08	7.246620349714503195e-01	-1.713529000000000024e-01
5.094860659999999797e+01	1.000000000000000000e+00	9.693797563706835508e+08	3.000000000000000000e+01	2.691515700000000066e+01	7.985251200000000438e+01	4.499766600000000238e+01	-2.329385280609130859e-02	2.600681781768798828e-02	2.712965011596679688e-03	7.939689000000000441e+00	5.984827997028874691e+00	2.271107300000000162e+00	9.693797563446767330e+08	3.313301922748334682e+00	5.397416999999999909e-01	-2.600681781768798828e-02	5.647499999999999742e-03	6.712922473421137900e+28	6.713000000000000000e+05	3.843337200000000120e+00	2.329385280609130859e-02	-1.347609500000000082e+01	3.170707999999999860e+00	-2.712965011596679688e-03	5.536168999999999674e-01	1.404126720032663047e-06	9.693797563473896980e+08	2.293619992952900533e-01	9.693797563593901396e+08	8.578414540763059648e-01	-1.609678999999999971e-01
4.398104610000000037e+01	1.000000000000000000e+00	9.693797563704477549e+08	3.000000000000000000e+01	2.060217400000000154e+01	7.881065900000000113e+01	4.856256299999999726e+01	-2.262318134307861328e-02	2.580189704895019531e-02	3.178715705871582031e-03	9.645922000000000551e+00	6.020206757963840971e+00	2.302075199999999988e+00	9.693797563446458578e+08	3.281332958089816731e+00	6.388610000000000122e-01	-2.580189704895019531e-02	3.821832000000000007e-01	2.057738154176654268e+28	6.731000000000000000e+05	3.834299699999999866e+00	2.262318134307861328e-02	-1.361666800000000066e+01	3.146731700000000131e+00	-3.178715705871582031e-03	5.450532000000000155e-01	1.219989873089342676e-06	9.693797563478245735e+08	2.283242385768294858e-01	9.693797563589116335e+08	8.027754430571510946e-01	-2.102445000000000008e-01
3.236461049999999773e+01	1.000000000000000000e+00	9.693797563710247278e+08	3.000000000000000000e+01	2.501376300000000086e+01	8.049079899999999554e+01	4.902876299999999787e+01	-2.337360382080078125e-02	2.606761455535888672e-02	2.694010734558105469e-03	6.448273999999999617e+00	6.087302493933989034e+00	2.250633800000000129e+00	9.693797563449571133e+08	3.248594286221017757e+00	9.227290999999999688e-01	-2.606761455535888672e-02	2.874381699999999817e+00	8.195263751886066711e+28	6.749000000000000000e+05	3.833902000000000143e+00	2.337360382080078125e-02	-1.391485999999999912e+01	1.886389499999999941e+00	-2.694010734558105469e-03	5.336672999999999556e-01	9.054262587413744878e-07	9.693797563476511240e+08	2.268863020935203145e-01	9.693797563590064049e+08	6.036466268886259146e-01	-1.983437000000000117e-01
5.888818160000000290e+01	1.000000000000000000e+00	9.693797563710248470e+08	3.000000000000000000e+01	2.612380599999999831e+01	8.074514499999999373e+01	4.795613699999999824e+01	-2.246975898742675781e-02	2.502846717834472656e-02	2.558708190917968750e-03	6.665200999999999709e+00	5.717952980630665927e+00	2.358124300000000062e+00	9.693797563459963799e+08	3.442356932912455481e+00	7.212370000000000170e-01	-2.502846717834472656e-02	1.203917399999999915e+00	2.603303728366842850e+29	6.767000000000000000e+05	3.837742700000000173e+00	2.246975898742675781e-02	-1.301339600000000019e+01	4.740391800000000266e+00	-2.558708190917968750e-03	6.020261000000000084e-01	2.230251942888749750e-06	9.693797563485550880e+08	2.345719862884397822e-01	9.693797563636791706e+08	7.509894953148451568e-01	4.101459999999999828e-02
5.075576910000000197e+01	1.000000000000000000e+00	9.693797563718762398e+08	3.000000000000000000e+01	2.617890299999999826e+01	8.234580300000000364e+01	4.580121900000000323e+01	-2.291262149810791016e-02	2.553248405456542969e-02	2.619862556457519531e-03	1.036568199999999962e+01	4.867890124694945975e+00	2.325718000000000174e+00	9.693797563463437557e+08	4.047400429131438493e+00	4.175489000000000006e-01	-2.553248405456542969e-02	1.157173900000000089e+00	4.242218243916014600e+29	6.785000000000000000e+05	3.860851199999999928e+00	2.291262149810791016e-02	-1.412574900000000078e+01	2.125900000000000012e-03	-2.619862556457519531e-03	8.314485999999999821e-01	7.332720924872108294e-07	9.693797563489636183e+08	2.478825397427800448e-01	9.693797563630355597e+08	9.140856580898907291e-01	-3.216419999999999696e-02
