simulation_id,mass,mchirp,distance
33068,2.4013368,1.0427917,119.92383
13677,3.4122457,1.4700833,125.1199
47872,3.0458157,1.3180125,144.21966
3265,2.1340254,0.92884696,131.22755
40287,2.7354642,1.1812855,101.09421
20052,2.1640491,0.94161336,43.730062
14338,2.7940043,1.2111949,143.54149
48072,3.2300846,1.359417,122.31976
4882,3.1019301,1.3500335,90.87923
23988,2.2093805,0.95837849,143.92847
16370,2.978595,1.2629529,149.81261
24091,2.4158396,1.0398842,82.59865
9057,3.3744463,1.4564542,139.48121
36721,3.1559238,1.3670656,82.008507
17073,2.9081674,1.2490712,94.19821
28270,2.7599784,1.1882443,122.50272
8883,2.4429799,1.055945,146.97184
11808,2.9089211,1.2072819,111.7984
7628,3.594519,1.5552695,146.59354
4650,3.5852023,1.5593992,103.645
10397,3.2893102,1.4306543,138.64859
2596,3.1970127,1.3632102,131.95255
41596,3.0195411,1.2857342,116.90466
548,2.4111409,1.0352907,143.36268
12334,3.4280848,1.4891572,146.23786
31168,2.874697,1.1848832,126.96876
39141,3.4255439,1.4719084,92.200652
26353,3.1014323,1.3050727,104.57679
44667,3.5860504,1.5565504,145.19497
28300,3.4893135,1.5015691,103.73529
9013,3.4065209,1.4824244,117.26473
15999,2.699162,1.1611388,93.507602
26586,3.5421096,1.528058,41.643083
9135,2.8877444,1.2050946,114.55069
20390,2.7412174,1.1925451,92.333237
6652,2.5101657,1.088565,129.9245
49619,3.0905821,1.3436544,132.07238
4222,2.9004919,1.2597298,105.84058
16326,2.8172578,1.2027375,98.670495
20395,2.9641816,1.2728732,77.71487
23232,3.1015399,1.341532,88.755448
37570,2.6367701,1.1295724,75.646291
37926,2.7062161,1.1544561,80.57048
25400,3.6891319,1.6042897,146.30587
12922,3.0950842,1.3039869,121.25846
22591,3.4196314,1.4682942,120.83251
13891,2.1160909,0.91973459,144.02747
33669,2.3312993,1.0147555,107.09051
44973,3.1079846,1.3204644,126.48591
21959,3.2324715,1.403507,146.40759
14838,3.4616297,1.502072,102.48124
3548,3.0412259,1.3206277,135.98219
45628,3.0950749,1.2802246,111.40481
942,2.6191456,1.1385433,123.38757
24914,2.5220265,1.0844003,100.10562
22387,3.2229672,1.3930896,52.649782
35238,2.5825304,1.1171527,92.450571
45141,2.9983765,1.2795194,141.81274
2280,2.4980241,1.0865025,121.94905
297,3.042256,1.3219543,141.35086
13227,3.4019371,1.4778918,137.89991
35284,2.5136094,1.0830271,101.83581
32035,2.6891606,1.142566,62.226048
28835,3.1124815,1.3537107,78.495513
47629,2.2936031,0.99036732,140.64189
37515,2.8802293,1.250345,109.10235
28855,3.6433692,1.5835089,106.79809
11426,3.3904148,1.4748877,112.09616
14746,3.2766094,1.4257657,61.833673
32634,2.5060082,1.0769936,127.65376
30340,2.8387686,1.2011373,42.114632
37162,3.1258707,1.3602379,145.98738
28956,3.3046297,1.4307307,149.21898
33933,2.5655595,1.100535,131.78353
41374,2.684722,1.1527846,143.4629
27412,2.6551073,1.1295873,146.29799
40253,3.5814673,1.5579106,140.94236
15186,2.7330114,1.1805687,106.82872
16996,3.3917678,1.4663583,127.90556
38436,3.1006075,1.3199005,110.81382
23599,2.9706876,1.2905305,145.48877
33624,2.6737779,1.1527453,94.019089
48870,3.3938582,1.4665046,71.552809
51507,3.1085344,1.3148629,80.609424
30324,3.2792845,1.3875161,108.49261
24199,2.2248075,0.96822168,146.28624
31967,2.6312634,1.1305334,60.225089
12464,3.2570777,1.4172377,98.080543
11830,3.3753046,1.4691774,111.62101
45388,2.421753,1.0532379,122.66512
30682,3.4627849,1.5013377,147.67499
43687,2.5834077,1.1150356,118.13588
18953,3.1506745,1.3589645,145.78872
37888,3.8590338,1.6794782,91.510295
40364,2.5303554,1.0997821,132.62404
6520,3.3330408,1.4491608,148.0709
43539,2.6956698,1.1732732,109.28066
27939,2.464955,1.0637653,123.92122
9533,3.2778461,1.4210095,126.77332
10823,2.8124102,1.2214398,118.96402
12233,2.6781196,1.1652399,140.60297
12763,2.8239861,1.2118322,113.60232
8473,3.0893229,1.3398357,129.08119
4853,3.1561582,1.3639891,88.849652
3458,2.9936375,1.2695902,132.85666
50917,3.5542882,1.5466911,101.40446
45804,2.9205963,1.2222437,108.54428
55,2.9503482,1.2290496,98.209347
11441,2.7932021,1.203183,117.98797
43170,3.2229902,1.402602,26.897054
38308,3.4534251,1.5031846,138.25239
26335,2.7046766,1.1613362,123.35054
2002,3.9225593,1.7073667,109.72157
8052,3.2031988,1.389764,114.55452
4578,2.8824223,1.2541401,134.01073
35826,3.4257375,1.4830447,98.523506
45465,2.2320835,0.97141813,60.241897
27374,2.5609934,1.1131223,115.98825
6756,2.9986535,1.2572178,128.84311
5878,2.6557432,1.1536844,140.8993
13997,3.1765498,1.3782697,105.99129
12337,2.4798629,1.0692425,89.879503
44369,2.8824109,1.2393193,79.41623
2241,2.6825605,1.1675618,109.66903
6765,3.3566563,1.4402295,78.605577
34550,3.1894512,1.3785986,91.439357
29033,3.1184881,1.3472573,126.92191
31928,3.351518,1.4422097,140.49788
9017,3.285118,1.4053507,149.92434
22157,2.7878658,1.2095671,148.59793
7281,2.8371789,1.208595,97.082706
12842,2.6061497,1.1265911,126.59336
35117,3.1997272,1.3632527,120.07273
48345,3.2508345,1.4132542,67.091474
29199,3.0096698,1.3096717,148.74812
16553,2.7580351,1.200183,124.92882
35995,3.1448835,1.3393339,100.68514
45810,2.4421225,1.0521378,149.67351
30577,2.6986589,1.1432249,86.967969
